Study,Domain,Scenario,N_Monitors,Method,Bias,MSE,RMSE,MC_SD,Coverage,Runtime_ms
Agriculture,Agriculture,C,40,Exp.Simulation,-0.4804,0.2308,0.4804,0.0522,0.0,2.0
Agriculture,Agriculture,C,40,Two-Stage Bayes,-0.4791,0.2295,0.4791,0.0533,0.0,2.8
Agriculture,Agriculture,C,40,GPR,-0.093,0.0088,0.0937,0.079,100.0,601.8
Agriculture,Agriculture,C,40,RF,-0.1193,0.0348,0.1865,0.2169,100.0,1937.1
Agriculture,Agriculture,C,40,GBR,-0.229,0.0557,0.236,0.1666,100.0,239.0
Agriculture,Agriculture,C,20,Plug-in,-0.0104,0.0104,0.1018,0.2317,75.0,0.9
Agriculture,Agriculture,C,20,RC-OOS,-0.6321,0.3995,0.6321,0.1112,75.0,2.6
Agriculture,Agriculture,C,20,Exp.Simulation,-0.5408,0.2925,0.5408,0.0576,0.0,1.3
Agriculture,Agriculture,C,20,Two-Stage Bayes,-0.5275,0.2783,0.5276,0.0565,0.0,2.4
Agriculture,Agriculture,C,20,GPR,-0.1463,0.0337,0.1836,0.213,100.0,564.7
Agriculture,Agriculture,C,20,RF,-0.1975,0.0663,0.2574,0.3715,100.0,1930.8
Agriculture,Agriculture,C,20,GBR,-0.2212,0.1208,0.3475,0.3915,100.0,232.4
Agriculture,Agriculture,C,10,Plug-in,0.0264,0.0351,0.1874,0.3173,50.0,0.8
Agriculture,Agriculture,C,10,RC-OOS,-0.715,0.5112,0.715,0.0476,75.0,2.3
Agriculture,Agriculture,C,10,Exp.Simulation,-0.6082,0.3699,0.6082,0.0267,0.0,1.6
Agriculture,Agriculture,C,10,Two-Stage Bayes,-0.6083,0.37,0.6083,0.0275,0.0,2.3
Agriculture,Agriculture,C,10,GPR,-0.0665,0.0683,0.2614,0.3398,100.0,635.6
Agriculture,Agriculture,C,10,RF,-0.2705,0.1386,0.3723,0.3815,91.7,1925.7
Agriculture,Agriculture,C,10,GBR,-0.3296,0.1628,0.4035,0.4395,100.0,230.5
